topic,argument,stance,evidence_1,evidence_2,evidence_3,evidence_4,evidence_5
We should introduce compulsory voting,Compulsory voting can cause people to vote in an uninformed/random manner,-1,A 2016 study of the Netherlands found that the abolition of compulsory voting increased the vote share of Dutch social democratic parties while reducing the vote share of minor and extreme parties.,"It is often asserted that uninformed voters are more susceptible to the influence of money and spending on television ads . A short advertisement is likely to have a greater influence on an uninformed voter than one who already has strong views. This encourages the use of sensational and misleading advertising and may have a negative effect on campaigning techniques. While politicians no longer need to try to convince citizens to go out and vote, they still need to find ways to maximize their vote among less informed voters. Australian political scientist, Haydon Manning notes that compulsory voting often require[s] banal sloganeering and crass misleading negative advertising .",Dampening the voice of the majority. An additional concern under a compulsory system is that people who are uninformed (or simply do not care about the outcome of an election) may end up voting randomly. The impact of ‘random’ votes ends up being particularly detrimental because it fails to increase civic engagement and may skew election results.,,
We should introduce compulsory voting,Compulsory voting increases representation,1,A 2016 study finds that compulsory voting reduces the gender gap in electoral engagement in several ways.,A study of a Swiss canton where compulsory voting was enforced found that compulsory voting significantly increased electoral support for leftist policy positions in referenda by up to 20 percentage points.,"Amber Herrle and E.J. Dionne, Jr. consider 50% turnout in midterm elections a historical achievement (as was the case in 2018) should be a warning. The disparities in turnout between different groups, detailed in their report, are equally worrying. Boosting turnout, they insist, is a matter of justice and representation. ","Compulsory voting means that candidates have to address the needs of all the voters. If voting were voluntary, the experience of countries like the United States is that poorer and less educated people would tend not to vote. This would skew the political system (further) toward the well off and well educated.",
We should introduce compulsory voting,Compulsory voting will cause more people to become interested in politics,1,"Since voting at referendums in the Northern Territory and the Australian Capital Territory has been allowed in 1977, compulsory voting has also applied there.  ","Concerns about declining democratic engagement and participation have been raised by the Electoral Commission, and by commentators such as Geoffrey Palmer and Andrew Butler, leading some to support the introduction of compulsory voting, as exists in Australia.","Compulsory registration and voting increase the legitimacy of elected representatives. Candidates winning seats in parliament really do win a majority of the people’s votes. In countries like the United States, where the turnout can be low, candidates can win with much less than a majority of the eligible vote.",Compulsory voting increases the political education of the people. They will tend to pay more attention to politics if they know they have to vote.,
We should close Guantanamo Bay detention camp,Detainees have the right to trial in US courts,1,"On Thursday, June 12, the U.S. Supreme Court ruled in the case of Boumediene v. Bush [553 U.S. 723 (2008)] that detainees held at Guantánamo Bay have the rights to challenge their detention in U.S. civilian courts under the Constitution’s habeas corpus provision and to have access to a lawyer. ","Finding the federal habeas statute thus applied extraterritorially and was not dependent upon U.S. citizenship, Stevens concluded that detainees at Guantanamo were entitled to invoke the federal courts’ authority under § 2241.","In a stinging defeat for the Bush administration, the Supreme Court ruled today that detainees held at Guantanamo Bay, Cuba, have a constitutional right to challenge their detentions in federal court and that congressional legislation has failed to provide a reasonable substitute for such a hearing.",The US supreme court has ruled that prisoners seized as potential terrorists and held for more than two years in Guantánamo bay may challenge their captivity in US courts.,
We should prohibit flag burning,Flags are important symbols that should be respected,1,"The Street court did not consider whether a prohibition on burning the flag, without also prohibiting words against the flag, would be constitutional or unconstitutional. This question would remain open until 1989, when in Texas v. Johnson, 491 U.S. 397, the Court invalidated a flag-burning statute.",Warren was of the opinion that laws against flag-burning are constitutional,Some countries have laws forbidding methods of destruction (such as burning in public) or forbidding particular uses (such as for commercial purposes); such laws may distinguish between desecration of the country's own national flag and flags of other countries.,"By 1932, all of the States had adopted flag desecration laws. In general, these State laws outlawed: (i) placing any kind of marking on the flag, whether for commercial, political, or other purposes; (ii) using the flag in any form of advertising; and (iii) publicly mutilating, trampling, defacing, defiling, defying or casting contempt, either by words or by act, upon the flag.","Rehnquist wrote: The American flag, then, throughout more than 200 years of our history, has come to be the visible symbol embodying our Nation. It does not represent the views of any particular political party, and it does not represent any particular political philosophy. The flag is not simply another idea or point of view competing for recognition in the marketplace of ideas. Millions and millions of Americans regard it with an almost mystical reverence regardless of what sort of social, political, or philosophical beliefs they may have. I cannot agree that the First Amendment invalidates the Act of Congress, and the laws of 48 of the 50 States, which make criminal the public burning of the flag."
We should subsidize journalism,Government intervention has the risk of inserting bias/harming objectivity,-1,"With Shao pointing out the fact that democratic and free journalism can be a powerful weapon against the repressive government, people were made to realize that freedom of speech and publication would not be granted by the government unless they fight for it.","Although being independent from the mainland's legal system and hence censorship laws, some Hong Kong media have been accused of practicing self-censorship in order to exchange for permission to expand their media business into the mainland market and for greater journalistic access in the mainland too.","Of the rulings for Time Warner, the Church of Scientology complained that they provide a safe harbor for biased journalism.","The organization used me and others to manipulate the serious subject of anti-Semitism for its own sensationalist agenda.. the BBC knowingly cheated its own audience - the British people - by concocting a false horror story about Poland. In doing so, the BBC has spread fear, ignorance, prejudice and hatred. I am profoundly disturbed by this unethical form of journalism.","Media coverage of the Arab-Israeli conflict by journalists in international news media has been said to be biased by both sides and independent observers. These perceptions of bias, possibly exacerbated by the hostile media effect, have generated more complaints of partisan reporting than any other news topic and have led to a proliferation of media watchdog groups. "
We should abolish the right to keep and bear arms,Gun control is ineffective,-1,Criminals overwhelmingly obtain their firearms through illegal channels and will never be deterred by state and federal laws.  A 2016 Obama administration study by the Bureau of Justice Statistics examined how prison inmates obtained the firearms they used during crimes — and the results weren't surprising. The study found that only about 10.1% obtained their firearms through a retail source. ,"In 2018, a study was released that examined the effect of comprehensive background checks on the state. The study examined nearly two decades (1981-2000) of data and found that background checks had no effect on homicide rates in California.",A study in Applied Economics Letters found that “assault weapons bans did not significantly affect murder rates at the state level” and “states with restrictions on the carrying of concealed weapons had higher gun-related murders.”,"According to a Mar. 10, 2016 Lancet study, most state-level gun control laws do not reduce firearm death rates, and, of 25 state laws, nine were associated with higher gun death rates.",
We should abolish the right to keep and bear arms,Gun ownership allows for mass-shootings/general gun violence,1,"Jeffrey Voccola, Assistant Professor of Writing at Kutztown University, notes, 'The average gun owner, no matter how responsible, is not trained in law enforcement or on how to handle life-threatening situations, so in most cases, if a threat occurs, increasing the number of guns only creates a more volatile and dangerous situation.'",A June 1985 study published in the American Journal of Public Health found that “the weapons used [in altercations]… were those closest at hand.”,"An editorial published in the June 1985 American Journal of Public Health noted, “gun-inflicted deaths [often] ensue from impromptu arguments and fights; in the US, two-thirds of the 7,900 deaths in 1981 involving arguments and brawls were caused by guns.” ","A 1993 study published in The New England Journal of Medicine found that '[r]ather than confer protection, guns kept in the home are associated with an increase in the risk of homicide by a family member or intimate acquaintance.'","'On the absolute scale, this means that a state like California, which has approximately two mass shootings per year, will have an extra mass shooting for every 10 unit increase in permissiveness over five years,' explain the researchers. 'It will also have three to five more mass shootings per five years for every 10 unit increase in gun ownership,' they add."
We should abolish the right to keep and bear arms,Gun ownership is a right,-1,"Nelson Lund, JD, PhD, Professor at George Mason University School of Law, stated, 'The right to self-defense and to the means of defending oneself is a basic natural right that grows out of the right to life'.","The U.S. Supreme Court revisited the issue in the case of District of Columbia v. Heller, 478 F.3d 370. The plaintiff in Heller challenged the constitutionality of a Washington D.C. law which prohibited the possession of handguns. In a 5-4 decision, the Court struck down the D.C. handgun ban as violative of that right. The Court meticulously detailed the history and tradition of the Second Amendment at the time of the Constitutional Convention and proclaimed that the Second Amendment established an individual right for U.S. citizens to possess firearms.","In 2010, the Court further strengthened Second Amendment protections in McDonald v. City of Chicago, 567 F.3d 856. The plaintiff in McDonald challenged the constitutionality of the Chicago handgun ban, which prohibited handgun possession by almost all private citizens. In a 5-4 decision, the Court, citing the intentions of the framers and ratifiers of the Fourteenth Amendment, held that the Second Amendment applies to the states through the incorporation doctrine.","In 2022, the Supreme Court further expanded upon the precedent set by Heller in New York State Rifle & Pistol Association v. Bruen. In Bruen, the Court struck down a New York law requiring parties interested in purchasing a handgun for the use of self-defense outside of the home to obtain a license because the law issued licenses on a “may-issue” rather than a “shall issue” basis. This “may issue” licensing method allowed state authorities to deny interested parties public use licenses for firearms if the interested party was unable to show “proper cause” as to why they have a heightened need for self-protection over the general population. ","In a 5-4 vote Thursday, the U.S. Supreme Court declared for the first time that the Second Amendment to the Constitution guarantees the right of individual Americans to keep and bear arms. The court said gun ownership is an individual right, not connected with military service, and that it can be regulated in some ways."
We should abolish the right to keep and bear arms,Gun ownership is necessary for hunting/sports-shooting,-1,"According to a Feb. 2013 Pew Research report, 32% of gun owners owned guns for hunting and 7% owned guns for target or sport shooting.","In 2011, there were 13.7 million hunters 16 years old or older in the United States, and they spent $7.7 billion on guns, sights, ammunition, and other hunting equipment.","According to data from 2016, approximately 10 million people used firearms for hunting, more than 50 percent of all hunters participated in target shooting, and 22 percent of hunters visited shooting ranges (U.S. Fish and Wildlife Service, 2018).",,
We should abolish the right to keep and bear arms,Gun ownership promotes self protection,-1,"Journalist John Stossel explained, “Criminals don’t obey the law… Without the fear of retaliation from victims who might be packing heat, criminals in possession of these [illegal] weapons now have a much easier job… As the saying goes, ‘If guns are outlawed, only outlaws will have guns.'” ","Daniel J. Schultz, lawyer, stated, “the Framers [of the Constitution and Bill of Rights] understood that ‘well-regulated’ militias, that is, armed citizens, ready to form militias that would be well trained, self-regulated and disciplined would post no threat to their fellow citizens, but would, indeed, help to ‘insure domestic Tranquility’ and ‘provide for the common defence.'","Marco Rubio (R-FL), US Senator, speaking about gun control laws during his 2016 presidential campaign, stated, 'If God forbid, ISIS visits our life, our neighborhood, our school, any part of us, the last thing standing, the last line of defense could very well be our ability to protect ourselves.'","Constitutions in 37 US states protect the right to bear arms for self-defense, most with explicit language such as Alabama’s: 'every citizen has a right to bear arms in defense of himself and the state.'","Wayne LaPierre, Executive Vice President of the NRA, stated, 'The only thing that stops a bad guy with a gun is a good guy with a gun.'"
We should abolish the right to keep and bear arms,Guns can fall into the wrong hands,1,A June 2013 Institute of Medicine (IOM) report states that 'Almost all guns used in criminal acts enter circulation via initial legal transaction.',"Between 2005 and 2010, 1.4 million guns were stolen from US homes during property crimes (including burglary and car theft), a yearly average of 232,400.","Ian Ayres, JD, PhD, and John J. Donohue, JD, PhD, Professors of Law at Yale Law School and Stanford Law School respectively, state, “with guns being a product that can be easily carried away and quickly sold at a relatively high fraction of the initial cost, the presence of more guns can actually serve as a stimulus to burglary and theft. ",A Secret Service analysis found that of 24 mass shootings in 2019 at least 10 (42%) involved illegally possessed guns.,"According to a Bureau of Justice Statistics May 2013 report, 37.4% of state prison inmates who “used, carried, or possessed a firearm when they committed the crime for which they were serving a prison sentence” obtained the gun from a family member or friend. "
We should abolish the right to keep and bear arms,Guns lead to accidental deaths,1,"According to the Law Center to Prevent Gun Violence and the National Physicians Alliance, states with the highest concentration of guns have nine times the amount of accidental gun deaths and “89% of unintentional shooting deaths of children occur in the home—and most of these deaths occur when children are playing with a loaded gun in their parents’ absence.”", The US General Accountability Office (GAO) estimated that 31% of total accidental shooting deaths could have been prevented by installing safety devices on guns: 100% of deaths per year in which a child under 6 years old shoots and kills him/herself or another child could be prevented by automatic child-proof safety locks; and 23% of accidental shooting deaths by adolescents and adults per year could be prevented by loading indicators showing when a bullet was in the chamber ready to be fired. ," Marjorie Sanfilippo, PhD, Professor of Psychology at Eckerd College who has researched children’s behavior around guns, stated, “We put gates around swimming pools to keep children from drowning. We put safety caps on medications to keep children from poisoning themselves. Because children are naturally curious and impulsive, and because we have shown time and again that we cannot ‘gun-proof’ them with education, we have a responsibility to keep guns out of the hands of children.”","Accidental gun deaths occur mainly to those under 25 years old. So far in 2022, 209 children (age 0-17) have died by gunshot and an additional 519 were injured. Adolescents are particularly susceptible to accidental shootings due to specific behavioral characteristics associated with adolescence, such as impulsivity, feelings of invincibility, and curiosity about firearms.","In 2021, unintentional shooting deaths accounted for over 4% (2,007) of total gun related deaths (44,912) in the United States. "
We should ban private military companies,Hiring private military companies is financially beneficial,-1,A report by the Congressional Research Service in 2009 found that the use of private military companies can result in cost savings for the government compared to using traditional military personnel.,"A study published in the journal Defense and Security Analysis in 2011 found that private military companies can provide more efficient services compared to traditional military personnel, due to their ability to quickly respond to changing circumstances. ",A report by the RAND Corporation in 2013 found that private military companies can provide access to specialized skills and expertise that may not be available in the traditional military. ,"A report by the Heritage Foundation in 2010 found that private military companies offer greater flexibility in terms of hiring and deploying personnel, allowing the government to respond quickly to changing circumstances.",A study published in the journal International Affairs in 2010 found that the use of private military companies can reduce bureaucratic processes and allow for a more streamlined decision-making process.
Homeschooling should be banned,Homeschooling is often the best option for catering for the needs of exceptional/religious/ill/disabled students.,-1,"The agency provides Eastern York Schools, district home schooled students and area private schools many services including: Special education services, combined purchasing, and instructional technology services.","Gallup polls of American voters have shown a significant change in attitude in the last twenty years, from 73% opposed to home education in 1985 to 54% opposed in 2001.","The agency provides Lebanon School District, charter schools, the district's home schooled students and area private schools many services including: Special education services, combined purchasing, and instructional technology services.","Homeschooling can be an option for families living in isolated rural locations, living temporarily abroad, and to allow for more traveling; also many young athletes and actors are taught at home.","The groups wrote that, 'The FTC’s failure to enforce its order has resulted in the unlawful transfer of [87] million user records … [i]t is unconscionable that the FTC allowed this unprecedented disclosure of Americans’ personal data to occur. The FTC’s failure to act imperils not only privacy but democracy as well.'"
Homeschooling should be banned,Homeschooling is often the best option for catering for the needs of exceptional/religious/ill/disabled students.,-1,"TikTok paid a $5.7 million fine for violating the children’s privacy law in 2019. Nevertheless, TikTok failed to delete personal information previously collected from children and was still collecting kids’ personal information without notice to and consent of parents.",An Online Harms White Paper (April 2019) argued that existing regulatory and voluntary initiatives had 'not gone far or fast enough” to keep users safe.',"Another California legislation, Senate Bill No. 1001, was signed into law last September and will go into effect in July. It purports to address the role of bots in fake news and advertising. But the law’s definition of “bot” is too broad, and the method it uses is a poor match for the goal it seeks to accomplish.","Legislation has a noticeable gap failing to hold the platform companies accountable for their management in data privacy, and calls to arms by legislators typically come after an identified breach yet quickly lose momentum.",
Homeschooling should be banned,Homeschools can be personalized to the child's pace/needs,-1,Gosling has said that homeschooling gave him 'a sense of autonomy that I've never really lost'.,"According to recent research, mainstream schools are failing to meet the requirements of pupils with special educational needs (SEN). Indeed, unhappiness at school is the reason why many parents decide to home educate their children.","“Differentiation is what homeschooling is all about,” Sherry Bushnell told me. She and herhusband founded the National Challenged Homeschoolers Associated Network, an internationalorganization that supports parents who educate special-needs children at home. They homeschool their sonJordan, a 13-year-old boy with Down's syndrome, along with his nine siblings.","Nelson said: One key benefit is the fact that, if you homeschool, you can personalise the education that your child receives according to their interests, needs, ability, and learning style. This might include spending more time outside doing physical exercise, letting them learn more about a subject that’s piqued their interest, or giving them the day off if they’re ill. When education is personalised, children are more engaged. It also allows them to discover their aptitudes and develop as people","The efficiency of homeschooling – and the fact that you don’t have to follow the national curriculum or the typical timings of a school day – leaves you with time to spend broadening your child’s learning. You can make time for play, projects, real experiments, and the arts. Real-life skill building – including cooking, cleaning, volunteering, and learning to budget – could form a part of your school day. You could also choose to learn in different places, like museums, parks, and science centres."
Homeschooling should be banned,Homeschools can be personalized to the child's pace/needs,-1,"Government use of SMMS or 'Social media monitoring software can be used to geographically track us as we communicate. It can chart out our relationships, networks, and associations. It can monitor protests, identify the leaders of political and social movements, and measure our influence.'","On October 18, 2017, the Department of Homeland Security (DHS) was scheduled to begin using personal information collected using social media platforms to screen immigrants arriving in the U.S. The department made this new measure known in a posting to the Federal Register in September 2017, noting that '...social media handles, aliases, associated identifiable information and search results...' would be included in an applicant's immigration file. This announcement, which was made relatively quietly, has received criticism from privacy advocates.","Intervening with or removing content affects the rights to freedom of expression and privacy, and can easily lead to censorship.","Intervening with or removing content affects the rights to freedom of expression and privacy, and can easily lead to censorship.","Intervening with or removing content affects the rights to freedom of expression and privacy, and can easily lead to censorship."
Homeschooling should be banned,Homeschools cannot be regulated/standardized,1,Unschooling contrasts with other forms of home education in that the student's education is not directed by a teacher and curriculum.,"Take Vyckie Garrison, an ex-Quiverfull mother of seven who, in 2008, enrolled her six school-age children in public school after 18 years of teaching them at home. Garrison, who started the No Longer Quivering blog, says her near-constant pregnancies - which tended to result either in miscarriages or life-threatening deliveries - took a toll on her body and depleted her energy. She wasn't able to devote enough time and energy to homeschooling to ensure a quality education for each child. And she says the lack of regulation in Nebraska, where the family lived, allowed us to get away with some really shoddy homeschooling for a lot of years."," I'm fine with homeschooling, if parents can do it. But that's a big 'if', and there has got to be regulation to ensure that children aren't being abused. Public school is a lot more than just an educational opportunity; it's the single most important social safety net we have in America, because it exists for the most vulnerable section of our population: children. A lot of child abuse cases are detected because teachers noticed suspicious marks on a child. Far more children than any of us would like to believe only get adequate nutrition because of free or reduced price breakfast and lunch at school. School is also the number one reason why parents get their kids vaccinated, because it's usually required for entry; if nothing requires it, it's too easy to just put it off.","Yes, as Calli Arcale and I both have said, homeschooling can be done effectively. However, without oversight, without someone looking in on these kids a few times for the 18 years they're under their parents thumb, the potential for abuse is there. And look, sure enough, abuse. What percentage of kids are abused this way? Who knows? What level would be acceptable? I would suggest zero-tolerance. If even 1% of households are homeschooling with the goal of restricting their children's options, and leaving them functionally illiterate so they're easier to be controlled by their husbands, or parents, than we might be looking at as many as 15-20,000 kids being denied an education. Kids that could be getting that education around the corner in their public school.","Along those lines, Senator Amy Klobuchar has proposed legislation to have the National Science Foundation identify “content neutral” restrictions on social media algorithms that might reduce the spread of harmful material."
Homeschooling should be banned,Homeschools cannot be regulated/standardized,1,"The law, called the Digital Services Act, is intended to address social media’s societal harms by requiring companies to more aggressively police their platforms for illicit content or risk billions of dollars in fines. Tech companies would be compelled to set up new policies and procedures to remove flagged hate speech, terrorist propaganda and other material defined as illegal by countries within the European Union.","Home Secretary Priti Patel said: 'We will not allow child sexual abuse, terrorist material and other harmful content to fester on online platforms. Tech companies must put public safety first or face the consequences.'","Richard Pursey, Group CEO & Co-Founder of safety technology company Safe To Net, said: ‘Online safety is a fundamental human right. That is why we are so proud to support the UK Government, who are leading the way in tackling online harm. The forthcoming legislation marks a pivotal moment for online safety, one that we hope will mean social platforms are made safe by design. This action can’t come soon enough: As our lives continue to become more digital, ourselves and our children are increasingly exposed to online threats. The UK safety-tech industry is leading the way with SafeToNet playing its part to make online harms a thing of the past.’","For example, Pierre DeBois, founder of digital analytics consultancy Zimana, wrote in his list of 2021 social media trends that the rise of regulation is intensifying media scrutiny on the societal impact of social media, platform transparency and how users feel about all this. Put simply, he writes, enterprises need to pay closer attention to how social media platforms impact the real world by allowing, say, disinformation or hate speech to go unchecked, 'because the platform’s responses can and will influence how customers view your organization’s association with the platform.'",
We should legalize cannabis,If cannabis was legalized it could be regulated,1,"British Crime Survey statistics indicated that the proportion of 16- to 24-year-olds using cannabis decreased from 28% a decade ago to 21%, with its declining popularity accelerating after the decision to downgrade the drug to class C was announced in January 2004. The BCS figures, published in October 2007, showed that the proportion of frequent users in the 16-24 age group (i.e. who were using cannabis more than once a month), fell from 12% to 8% in the past four years.","In Hallucinations: Behavior, Experience, and Theory (1975), senior US government researchers Louis Jolyon West and Ronald K. Siegel explain how drug prohibition can be used for selective social control: .   The role of drugs in the exercise of political control is also coming under increasing discussion. Control can be through prohibition or supply. The total or even partial prohibition of drugs gives the government considerable leverage for other types of control. An example would be the selective application of drug laws .. against selected components of the population such as members of certain minority groups or political organizations.",,,
We should abolish intellectual property rights,Intellectual property prevents the continuous improvement of a service/product,1,"By 1852, many in the photographic community felt that Fox Talbot's insistence on the economic rights in his intellectual property were hampering the development of photography in England and had called upon him to relinquish his patent.","Murray Rothbard argues that intellectual property laws can actually hinder innovation, since competitors can be indefinitely discouraged from further research expenditures in the general area covered by the patent because the courts may hold their improvements as infringements on the previous patent, and the patent holder is discouraged from engaging in further research in this field because the privilege discourages his improvement of his invention for the entire period of the patent, with the assurance that no competitor can trespass on his domain.","Stallman argues that the term intellectual property is designed to confuse people, and is used to prevent intelligent discussion on the specifics of copyright, patent, trademark, and other laws by lumping together areas of law that are more dissimilar than similar.","Free Software Foundation founder Richard Stallman argues that, although the term intellectual property is in wide use, it should be rejected altogether, because it systematically distorts and confuses these issues, and its use was and is promoted by those who gain from this confusion.","Some critics of intellectual property, such as those in the free culture movement, point at intellectual monopolies as harming health (in the case of pharmaceutical patents), preventing progress, and benefiting concentrated interests to the detriment of the masses, and argue that the public interest is harmed by ever-expansive monopolies in the form of copyright extensions, software patents, and business method patents."
We should abolish intellectual property rights,Intellectual property restricts access to important information/products,1,"The duration increased from an average of 32.2 years to 95 (for copyrights owned by corporations) between 1974 and 2004, and it may yet be extended further, in violation of the constitutional requirement that the exclusive rights be for limited times.  The scope has increased from regulating only publishers to now regulating just about everyone.","Lateef Mtima, director of the Institute for Intellectual Property and Social Justice at Howard University School of Law, expressed concern that users who upload copyrighted content to sites could potentially be held criminally liable themselves, saying, Perhaps the most dangerous aspect of the bill is that the conduct it would criminalize is so poorly defined.",Professor Lessig analyzes the tension that exists between the concepts of piracy and property in the intellectual property realm in the context of what he calls the present depressingly compromised process of making law that has been captured in most nations by multinational corporations that are interested in the accumulation of capital and not the free exchange of ideas.,"Regarding the intellectual property rights of indigenous peoples, the General Assembly recognized ..the urgent need to respect and promote the inherent rights of indigenous peoples which derive from their political, economic and social structures and from their cultures, spiritual traditions, histories and philosophies..;",
We should abolish intellectual property rights,Intellectual property rights are unfair,1,The PHM views the agreement on Trade Related Intellectual Property Rights(TRIPS) as iniquitous and against the interest of developing countries and poor patients.,"Kinsella claims that IPR create artificial scarcity and reduce equality. Bouckaert wrote, Natural scarcity is that which follows from the relationship between man and nature. Scarcity is natural when it is possible to conceive of it before any human, institutional, contractual arrangement.",Edwin Hettinger argues that natural rights arguments for intellectual property are weak and the philosophical tradition justifying property can not guide us in thinking about intellectual property.,"Roderick T. Long argues that the concept of intellectual property is not libertarian. He holds that prohibiting people from using, reproducing, and trading copyrighted material is an infringement of freedom of speech and freedom of the press",
We should abolish intellectual property rights,Intellectual property rights harm creativity/innovation,1,"By 1852, many in the photographic community felt that Fox Talbot's insistence on the economic rights in his intellectual property were hampering the development of photography in England and had called upon him to relinquish his patent.","Murray Rothbard argues that intellectual property laws can actually hinder innovation, since competitors can be indefinitely discouraged from further research expenditures in the general area covered by the patent because the courts may hold their improvements as infringements on the previous patent, and the patent holder is discouraged from engaging in further research in this field because the privilege discourages his improvement of his invention for the entire period of the patent, with the assurance that no competitor can trespass on his domain.","In 2001, Microsoft CEO Steve Ballmer referred to Linux as a cancer that attaches itself in an intellectual property sense to everything it touches.","Another unusual and criticized decision taken by Fleva (in his secondary capacity as Minister of Industry and Commerce) was the abolition of virtually all patents, measures justified by his belief that intellectual property rights were holding back industrialization. This policy, backed by a sizable portion of the public, was only repealed in 1906, under continued pressure from the international arms industry.",The argument that an intellectual property right should (in the interests of better balancing of relevant private and public interests) be termed an intellectual monopoly privilege (IMP) has been advanced by several academics including Birgitte Andersen  and Thomas Alured Faunce.
We should abolish intellectual property rights,Intellectual property rights incentivize creativity/innovation,-1,The WIPO treaty and several related international agreements underline that the protection of intellectual property rights is essential to maintaining economic growth.,"Senate Judiciary chairman Patrick Leahy (D-VT) was a strong supporter of these committees, which aimed to further support the goals of the PRO-IP Act, centered upon protecting American intellectual property and in turn, protect innovation central to the U.S. economy and its job market.","In May 2007, LucasArts announced Fracture and stated that new intellectual properties serve a vital role to the growth of LucasArts.","The US Constitution included the power to protect intellectual property, empowering the Federal government to promote the progress of science and useful arts, by securing for limited times to authors and inventors the exclusive right to their respective writings and discoveries.",Utilitarians argue that without intellectual property there would be a lack of incentive to produce new ideas.
We should abolish intellectual property rights,Intellectual property rights incentivize investment in developing new products,-1,"Sponsor Rep. John Conyers (D-MI) said, Millions of American jobs hang in the balance, and our efforts to protect America's intellectual property are critical to our economy's long-term success.",The Anti-Counterfeiting Trade Agreement (ACTA) states that effective enforcement of intellectual property rights is critical to sustaining economic growth across all industries and globally. ,According to the review intellectual property (IP) policy is an increasingly important tool for stimulating economic growth.,"Many economists believe that, in the absence of intellectual property protections such as copyright and patents, various types of intangible assets would be under-produced, because there would be insufficient incentives for commercial organisations to produce them","In relation to computer software, the Business Software Alliance (BSA) claimed in its 2011 piracy study: Public opinion continues to support intellectual property (IP) rights: Seven PC users in 10 support paying innovators to promote more technological advances.."
We should abolish intellectual property rights,Intellectual property rights protect against stealing,-1,Annexed to this is the Agreement on Trade-Related Aspects of Intellectual Property Rights (TRIPS) which aims to 'reduce distortions .. in international trade .. promote effective and adequate protection of intellectual property rights .. '.,"Intellectual property rights (IPR) treat IP as a kind of real property, subject to analogous protections, rather than as a reproducible good or service.",Operation In Our Sites is an initiative led by the NIPRCC to detect and hinder intellectual property violations on the Internet.,"WIPO was created in 1967 to encourage creative activity, to promote the protection of intellectual property throughout the world. ","If we want to continue to lead the world in producing intellectual property, we need to protect Americans' rights in that property, stated Senator Leahy."
We should abolish intellectual property rights,Intellectual property rights waste money,1,"Bhagwati asserts that intellectual property does not belong in the WTO, since protecting it is simply a matter of royalty collection [..] The matter was forced onto the WTO's agenda during the Uruguay Round by the pharmaceutical and software industries, even though this risked turning the WTO into a glorified collection agency.",Boldrin and Levine argue that government does not ordinarily enforce monopolies for producers of other goods. This is because it is widely recognized that monopoly creates many social costs. Intellectual monopoly is no different in this respect.,"For getting the protection for the first time, it could be bit expensive particularly if the product is complex and involves methods, designs, and processes.",,
We should subsidize journalism,It is preferable to spend the money elsewhere,-1,"Postal subsidies from our nation’s early founding (cited as a precedent by Downie/Schudson and McChesney/Nichols) are irrelevant. We had one communication medium then, newspapers. In today’s world of multiple forms of print, broadcast and digital communication, federal subsidies would decide winners and losers, protecting inefficient companies and creating huge obstacles for entrepreneurs.",,,,
We should legalize sex selection,It is within the freedoms of the parents to select the sex of the child,1,"Every woman and man has a slight preference when it comes to baby’s gender. Most people forget their preference when a baby is born but one does harbor a wish to have a daughter or son. Such a desire can be fulfilled with the help of gender selection or choosing your baby’s gender. Without gender selection, it would be all about fate or luck and a couple may never have a desired gender for a baby. There are families who have five daughters in an attempt to have a son. And there are many families who keep having sons when they want a daughter. Other than getting a desire or wish fulfilled, choosing baby’s gender helps in instilling some gender balance in the family.","Most families opt for unisex stuffs for babies before they are born. From clothes to toys, the color of the crib to the various necessities and accessories, everything is gender neutral in most cases. With gender selection or knowing baby’s gender can help every family to buy gender specific items. This not only does away with the ambiguity but actually helps the baby to get the best stuff as well. There is also a financial aspect as after the birthing of a baby, the parents always spend money on items that are for a boy or girl respectively. Knowing the gender or choosing gender allows for smart shopping during the trimesters. The economic advantage is not oft talked about but it is significant.","Choosing baby’s gender may not appear as a freedom of choice for those looking at politically right things to say but if you consider the fact that parents get to choose the sex of their baby then it is indeed a desirable scenario. It isn’t always bias or perceptions that dictate decisions on gender. At times, it could be to prevent gender specific diseases from being passed onto a baby.","The advantage selecting the gender of your baby in advance is that you are able plan for your family. This is because you will have just an adequate number of children raise. Consequently, you can be sure of giving them a good education and proper nutrition.",
We should subsidize journalism,Journalism is important to information-spreading/accountability,1,"Further technological development within the world of the Internet points to a trend of increased usage of non-institutionalized, non-governmental, non-administrative and clearly transnational information during reporting and research work.",Solutions journalism supporters believe that it provides an important feedback system that allows society to see credible possibilities and respond more successfully to emerging challenges.,"Solutions journalism posits that reporting on ways that problems are being addressed can increase engagement among audiences, enhances a sense of efficacy, and fosters constructive discourse around controversial issues.","The accessibility of online media has also enhanced the interest for journalism among youth and many websites, like 'Far and Wide' a publication focusing on travel and international culture, as well as WorldWeekly a news blog covering a range of topics from world politics to science, are founded and run by students.","The Associated Press became increasingly important and efficient, producing a vast quantity of reasonably accurate, factual reporting on state and national events that editors used to service the escalating demand for news."
